,track,id,playlist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
559,Forever Ago,03cDw9iq5KedboH2bU6G1p,3FInOSJaKv5QzLQrd3lCgA,0.396,0.198,9.0,-16.982,1.0,0.0363,0.924,0.0706,0.0786,0.0723,82.065,282747.0
560,I Will Wait,5PRRthP9SLfbXB359MfIWv,3FInOSJaKv5QzLQrd3lCgA,0.486,0.769,1.0,-5.14,1.0,0.0341,0.0119,0.00832,0.197,0.393,131.286,276720.0
561,Little Lion Man,2KrN3MCNztKcSleZgHEj83,3FInOSJaKv5QzLQrd3lCgA,0.517,0.492,5.0,-8.05,1.0,0.0272,0.0275,3.19e-05,0.0873,0.455,138.585,245173.0
562,Everything is fine,4fQbs6ZB40040upWlv3cH5,3FInOSJaKv5QzLQrd3lCgA,0.596,0.567,8.0,-7.827,1.0,0.0388,0.126,5.87e-06,0.0981,0.334,115.127,218500.0
563,Algo que ya (feat. Funambulista),0QUbM7Nhjzk0A4HodtUJwp,3FInOSJaKv5QzLQrd3lCgA,0.535,0.633,7.0,-5.597,1.0,0.185,0.476,0.0,0.457,0.801,102.263,224725.0
564,Send Me on My Way,6hs3SDnbO3f6VQuPO4KBEb,3FInOSJaKv5QzLQrd3lCgA,0.5,0.681,0.0,-9.556,1.0,0.0672,0.114,4.01e-05,0.139,0.745,119.46,263333.0
565,Forever My Love,6TYuTMfBTU4hpXrhLsjIiV,3FInOSJaKv5QzLQrd3lCgA,0.622,0.257,0.0,-9.811,1.0,0.0293,0.478,0.0,0.0954,0.174,79.924,190893.0
566,The Way You Move,17K74lgJ4qpdkTC55bamY2,3FInOSJaKv5QzLQrd3lCgA,0.708,0.348,6.0,-8.594,1.0,0.0273,0.754,0.0476,0.0993,0.126,117.988,290140.0
567,Heaven Knows,34GtysP7mVfZ0I2bJFIpCN,3FInOSJaKv5QzLQrd3lCgA,0.656,0.895,0.0,-4.634,1.0,0.0314,0.298,1.82e-05,0.246,0.918,116.065,258373.0
568,Sunset,6VwhXg2o0gIqoBVC8b2xQJ,5U2MYFAcQ3yT7XbHYgGPmb,0.74,0.834,0.0,-5.432,1.0,0.0459,0.0202,0.183,0.166,0.352,127.931,266318.0
569,Not Surprising,12cFJ3zss3Srz4CSNjk0BY,3FInOSJaKv5QzLQrd3lCgA,0.592,0.275,5.0,-9.853,0.0,0.047,0.897,0.00338,0.102,0.37,179.75,238539.0
570,Coffee in the Morning,3HnkyngeiACms5HfkkfIfN,3FInOSJaKv5QzLQrd3lCgA,0.621,0.355,5.0,-7.316,1.0,0.0283,0.812,7.9e-06,0.0941,0.443,87.9,250568.0
571,Feel It Coming,42sGyVJwEJD89tJ0W5pMHA,3FInOSJaKv5QzLQrd3lCgA,0.396,0.866,11.0,-8.471,1.0,0.0663,0.0613,0.0,0.144,0.179,150.038,252373.0
572,THE GREAT DIVIDE,1SBa6FoidxU9Z9F9O3xCjT,3FInOSJaKv5QzLQrd3lCgA,0.739,0.44,2.0,-9.449,1.0,0.0347,0.827,0.000165,0.114,0.625,113.201,230000.0
573,Buen Viaje,4V7TxZHMlZ7nmvaKbjE4Zy,3FInOSJaKv5QzLQrd3lCgA,0.614,0.703,5.0,-6.602,1.0,0.0465,0.366,0.0,0.0947,0.329,93.016,166452.0
574,Cuentas Pendientes,31rr0w4cu0smj9U7KFtKgn,3FInOSJaKv5QzLQrd3lCgA,0.618,0.75,9.0,-6.573,1.0,0.0602,0.0111,3.59e-06,0.111,0.339,199.91,188700.0
575,Como Un Amuleto,2nRjw9V6oQmueOWsaoymJ4,3FInOSJaKv5QzLQrd3lCgA,0.615,0.232,9.0,-12.868,1.0,0.0333,0.863,3.3e-06,0.0836,0.376,135.833,191689.0
576,Stuck In A Moment You Can't Get Out Of,1OQztPI2L8Nwjb5ueTrFCd,3FInOSJaKv5QzLQrd3lCgA,0.506,0.371,0.0,-6.511,0.0,0.0351,0.182,4.53e-06,0.149,0.227,77.857,219912.0
577,Left With The Wolves,0HFAsJi2Hj9NbujFRDkgVK,3FInOSJaKv5QzLQrd3lCgA,0.663,0.755,2.0,-5.169,0.0,0.0297,0.241,2.43e-06,0.222,0.359,108.998,229335.0
578,Northern Rivers,35fjdJoonFREBTAEAe5IoT,3FInOSJaKv5QzLQrd3lCgA,0.67,0.471,5.0,-10.972,1.0,0.0343,0.56,2.78e-05,0.117,0.078,110.048,256917.0
579,Mr. Brightside,1KOAr3G8LaibCpHeaWtL2u,5U2MYFAcQ3yT7XbHYgGPmb,0.55,0.865,1.0,-3.783,1.0,0.0725,0.054,0.0,0.0859,0.246,126.093,226667.0
580,Lost Cause,5kP7NFMktzZ0FyaAbg7mHN,3FInOSJaKv5QzLQrd3lCgA,0.598,0.827,8.0,-7.939,1.0,0.0432,0.0313,0.0,0.11,0.398,126.978,205705.0
581,Vivir (with Estopa),0n2lJjskWdFCvLI3ExAGha,3FInOSJaKv5QzLQrd3lCgA,0.715,0.906,8.0,-5.478,1.0,0.28,0.353,0.0,0.112,0.777,101.088,172000.0
582,Busca Adentro,5vUZc2YujH2pAoGWtsHcvY,3FInOSJaKv5QzLQrd3lCgA,0.82,0.836,0.0,-5.732,1.0,0.0595,0.558,0.0,0.0897,0.768,99.978,188707.0
583,Magia en Caos,4vcm7fWwEo5HPQE9Nki1Tx,3FInOSJaKv5QzLQrd3lCgA,0.673,0.652,6.0,-5.327,1.0,0.0305,0.258,1.25e-05,0.105,0.366,135.021,202889.0
584,Old & Grey,4A8V9lYTmf9LMQ0sZ3ndXr,3FInOSJaKv5QzLQrd3lCgA,0.775,0.527,2.0,-10.533,0.0,0.0325,0.44,4.28e-05,0.211,0.898,118.006,192918.0
585,Somebodies,5495ECvEU6OWF12NniRjEY,3FInOSJaKv5QzLQrd3lCgA,0.579,0.314,10.0,-16.273,1.0,0.0531,0.739,3.35e-05,0.113,0.375,147.975,140733.0
586,Thirteen Sad Farewells,03RFScByLwJTxTme6n4BpP,3FInOSJaKv5QzLQrd3lCgA,0.647,0.402,6.0,-9.922,1.0,0.035,0.443,0.000244,0.387,0.437,114.039,165613.0
587,Like a River,0LqcdN6104AK55dUCiYF1a,3FInOSJaKv5QzLQrd3lCgA,0.622,0.385,3.0,-11.272,1.0,0.0321,0.912,0.837,0.122,0.276,73.957,215165.0
588,Tan a gustito,23s8yqviXTS7rYZD4tQuzG,3FInOSJaKv5QzLQrd3lCgA,0.791,0.258,7.0,-7.973,1.0,0.0335,0.452,0.0,0.137,0.72,103.994,204912.0
589,Days of Our Lives,2ixiA4aH4VWCatWcqjvX2k,3FInOSJaKv5QzLQrd3lCgA,0.91,0.233,3.0,-8.335,1.0,0.103,0.736,0.0,0.145,0.817,94.966,142307.0
590,Stick Season,0GNVXNz7Jkicfk2mp5OyG5,3FInOSJaKv5QzLQrd3lCgA,0.664,0.5,9.0,-6.935,1.0,0.0651,0.799,0.0,0.0966,0.801,117.896,182347.0
591,Galicia - En Directo en acústico,6YT1amT59hvbSyGfEIJMoX,3FInOSJaKv5QzLQrd3lCgA,0.404,0.167,11.0,-8.613,0.0,0.042,0.539,1.49e-06,0.21,0.292,85.665,362985.0
592,Esa Es la Respuesta,15dK9vYA6N27LMANaXvDMW,3FInOSJaKv5QzLQrd3lCgA,0.639,0.513,5.0,-8.778,1.0,0.139,0.529,2.29e-06,0.0992,0.694,101.854,217948.0
593,This Could Be,1B3q53I9zJk6NROKVE3EBz,3FInOSJaKv5QzLQrd3lCgA,0.576,0.317,9.0,-9.924,1.0,0.027,0.741,0.0116,0.113,0.248,109.973,230427.0
594,Out of the Water,0bTXasxtrwOAMa1L6DDNaX,3FInOSJaKv5QzLQrd3lCgA,0.737,0.562,0.0,-7.579,1.0,0.0467,0.56,0.0,0.288,0.343,104.053,146900.0
595,La habitación prohibida,3RqFIvHHgnYl52j9UNjb7Z,3FInOSJaKv5QzLQrd3lCgA,0.638,0.375,7.0,-8.304,1.0,0.0744,0.755,1.14e-06,0.0719,0.822,130.572,239082.0
596,Think About You,3Kuu5vASpXK8oRsxOvau6P,35oLMiAK4VM2T0ek3PTPIc,0.673,0.596,10.0,-7.891,1.0,0.0354,0.166,0.0,0.11,0.19,123.969,208567.0
597,What I Do,4mTGhomXLeE4efEb58w2RY,3FInOSJaKv5QzLQrd3lCgA,0.692,0.581,5.0,-7.647,0.0,0.0292,0.0858,0.000648,0.191,0.247,125.016,215517.0
598,Toralla,4rhHAWgMR5UbQuvEQHs8qH,3FInOSJaKv5QzLQrd3lCgA,0.53,0.257,5.0,-11.895,1.0,0.0358,0.807,6.44e-05,0.0834,0.403,110.244,169500.0
599,Les Merdes,2GDWy8sF5f8V9ryQlCoJA7,3FInOSJaKv5QzLQrd3lCgA,0.575,0.629,4.0,-7.157,1.0,0.0265,0.0644,3.72e-06,0.106,0.372,139.929,188920.0
600,Desperté,48mJyMMZs8wVWd3GzlAehh,3FInOSJaKv5QzLQrd3lCgA,0.758,0.252,1.0,-11.928,1.0,0.224,0.861,0.0,0.129,0.589,126.39,208378.0
601,A Volar,65aTVZSJzFka4sXrlVeqo5,3FInOSJaKv5QzLQrd3lCgA,0.766,0.658,11.0,-8.057,1.0,0.0447,0.49,4.11e-06,0.214,0.964,110.138,206493.0
602,Zalamera (Sístole),2bEYlIm1YoQ4MzIy7YNnTS,3FInOSJaKv5QzLQrd3lCgA,0.732,0.534,6.0,-8.171,1.0,0.0344,0.0612,7.66e-06,0.136,0.762,108.041,198889.0
603,No Te Lo Diría,5GkAU2edbh0jRmuMJNHviz,3FInOSJaKv5QzLQrd3lCgA,0.635,0.306,7.0,-8.101,1.0,0.0323,0.856,0.0,0.0867,0.424,128.159,256184.0
604,Creature Of The Night,0jgaFTvDHzI7V7DIoTf0BW,3FInOSJaKv5QzLQrd3lCgA,0.721,0.486,2.0,-11.342,1.0,0.155,0.417,3.38e-06,0.586,0.629,101.918,277014.0
605,We're On Our Way,70QynIAwYJGIIN0ZYA3VKE,3FInOSJaKv5QzLQrd3lCgA,0.577,0.578,7.0,-12.345,1.0,0.0371,0.533,0.879,0.394,0.359,74.237,247853.0
606,A Mi Manera,5tFCHPbtz4plGwDnH2b1QV,3FInOSJaKv5QzLQrd3lCgA,0.394,0.257,9.0,-9.628,1.0,0.0325,0.979,0.000128,0.0957,0.446,81.361,240531.0
607,Viaje Sin Vuelta,0Wb8sPg5hVeroHV6n1oY9F,3FInOSJaKv5QzLQrd3lCgA,0.681,0.805,0.0,-4.597,1.0,0.0343,0.227,0.00271,0.0727,0.273,131.99,200739.0
608,Chica Formal,0nfvHDpj842OWSqpVe1Llb,3FInOSJaKv5QzLQrd3lCgA,0.677,0.685,9.0,-4.361,1.0,0.057,0.0538,1.07e-05,0.111,0.656,150.006,179520.0
609,Para Mi Eres Verano,3QqQMMEOGTRkeyfVpBIStB,3FInOSJaKv5QzLQrd3lCgA,0.649,0.529,1.0,-8.19,1.0,0.0346,0.0549,0.000302,0.0951,0.602,179.947,181832.0
610,Tirando Balas,15I8CL9krCHIiwZvac61yl,3FInOSJaKv5QzLQrd3lCgA,0.78,0.735,1.0,-6.132,0.0,0.0361,0.0255,0.0,0.264,0.965,129.973,173748.0
611,A Song for the Drunk and Broken Hearted,2my0HGJw82GQrF3xhnTUVS,3FInOSJaKv5QzLQrd3lCgA,0.567,0.741,2.0,-8.922,1.0,0.0294,0.233,0.005,0.162,0.795,136.297,239240.0
612,Missing You (with Ashe),7xtsuU7WlDNmTzUQ32oQ7r,3FInOSJaKv5QzLQrd3lCgA,0.639,0.34,0.0,-12.185,0.0,0.0604,0.319,0.0,0.169,0.333,115.034,235811.0
613,wildfire,5qz7zyJ2YAhER8DXTcRyQg,3FInOSJaKv5QzLQrd3lCgA,0.806,0.12,4.0,-13.908,1.0,0.0622,0.698,0.0,0.0823,0.756,80.031,143838.0
614,when she was mine,3BFOZt5LkXJsLRGUxh8Niv,3FInOSJaKv5QzLQrd3lCgA,0.481,0.46,9.0,-7.99,1.0,0.0281,0.482,0.0,0.138,0.33,76.023,145536.0
615,Feels So Easy,53m2qiG26iGnHb3ygFFDp2,3FInOSJaKv5QzLQrd3lCgA,0.607,0.418,6.0,-10.189,0.0,0.0659,0.747,5.63e-05,0.116,0.367,110.158,146307.0
616,No Pasarán,01qqX42EpmyAS6mOTKzBB0,3FInOSJaKv5QzLQrd3lCgA,0.636,0.401,7.0,-10.631,1.0,0.0513,0.84,1.83e-06,0.134,0.435,97.943,329063.0
617,Las Bestias Que Me Acompañan,3cM4LmOelaNH1fKOrpgp09,3FInOSJaKv5QzLQrd3lCgA,0.584,0.383,2.0,-12.296,1.0,0.0313,0.657,0.104,0.103,0.404,139.981,222429.0
618,Cecilia,6QhXQOpyYvbpdbyjgAqKdY,3FInOSJaKv5QzLQrd3lCgA,0.755,0.876,0.0,-8.867,1.0,0.0362,0.357,5.17e-06,0.22,0.954,102.762,174827.0
619,Purple,5zzbToGMuEli0E7RVFIhDA,3FInOSJaKv5QzLQrd3lCgA,0.593,0.676,7.0,-7.472,1.0,0.026,0.126,0.0803,0.091,0.365,108.041,265962.0
620,cómo cuándo y dónde,7JHGipL0wFFuyl54Zknic0,3FInOSJaKv5QzLQrd3lCgA,0.618,0.453,0.0,-10.292,1.0,0.0435,0.761,0.0,0.119,0.477,84.985,163341.0
621,Ni un día más,6qKJmpgtgZmC0R0zWJAo8C,3FInOSJaKv5QzLQrd3lCgA,0.591,0.441,3.0,-7.781,1.0,0.0536,0.742,0.0,0.268,0.659,97.152,145878.0
622,Give Me The Reason,7d6ECwiSQEikOrJt5SNWMo,3FInOSJaKv5QzLQrd3lCgA,0.592,0.837,8.0,-4.341,1.0,0.17,0.00633,0.0,0.12,0.287,121.897,234187.0
623,te quiero,6INB0ZM2IkuHlzDbQutZUB,3FInOSJaKv5QzLQrd3lCgA,0.632,0.441,2.0,-7.255,1.0,0.0364,0.346,1.24e-06,0.0761,0.338,100.009,161417.0
624,Fuentes de Ortiz,0akyEssGRVHstqCSWXusJL,3FInOSJaKv5QzLQrd3lCgA,0.83,0.159,1.0,-14.461,1.0,0.0383,0.946,2.02e-05,0.362,0.189,104.95,207400.0
625,Torn,2SWyPUuh4xfYkH7EUH5qgZ,7ozIozDp260fjNOZy1yzRG,0.707,0.382,9.0,-12.62,1.0,0.251,0.419,0.0,0.108,0.372,101.942,122494.0
626,Take You Home,3xc9WBrfURBKh7TfwWajxe,7ozIozDp260fjNOZy1yzRG,0.662,0.649,2.0,-9.333,1.0,0.0467,0.123,0.403,0.0971,0.184,119.942,145500.0
627,Before the Sun Sets,7j5IEblPv4Q15WE667AlGb,7ozIozDp260fjNOZy1yzRG,0.655,0.611,7.0,-7.325,1.0,0.1,0.649,0.000685,0.369,0.419,115.887,120776.0
628,Stay by My Side,2wk7mBr6JlorYMwESY7lyi,7ozIozDp260fjNOZy1yzRG,0.599,0.469,9.0,-8.369,1.0,0.0358,0.725,0.000101,0.0903,0.283,120.114,111167.0
629,Quicksand,0jV2HSzU144aRkPJ198PpC,5U2MYFAcQ3yT7XbHYgGPmb,0.546,0.768,11.0,-3.528,0.0,0.0416,0.0447,0.0,0.195,0.427,128.035,217500.0
630,Like a Dream,6gOFS1DicuJRiLSB4ZDorp,7ozIozDp260fjNOZy1yzRG,0.737,0.476,0.0,-15.889,1.0,0.0378,0.583,0.0049,0.172,0.309,117.076,151795.0
631,One Track Mind,2TL5DbAuGmtLS0V6IlszFO,7ozIozDp260fjNOZy1yzRG,0.854,0.597,11.0,-7.613,1.0,0.144,0.507,0.0028,0.364,0.61,114.953,135893.0
632,Close to You,6YLthiS7dxeABA8sEkJfU8,7ozIozDp260fjNOZy1yzRG,0.73,0.555,0.0,-10.294,0.0,0.0414,0.76,0.000553,0.128,0.253,120.031,134031.0
633,My Favourite One,4mTNWhVEX4IY7BbsjHeDxK,7ozIozDp260fjNOZy1yzRG,0.582,0.365,0.0,-13.711,1.0,0.0387,0.475,0.000964,0.295,0.285,114.014,104737.0
634,Joshua Tree,5H4s0E08rg6xIOl4hELDVr,7ozIozDp260fjNOZy1yzRG,0.705,0.5,7.0,-9.477,0.0,0.0326,0.0199,1.38e-05,0.509,0.291,113.955,120746.0
635,Key,1j2uOajBXtB0dV7gmaUIwG,7ozIozDp260fjNOZy1yzRG,0.619,0.512,1.0,-7.57,1.0,0.0352,0.549,0.0,0.417,0.204,109.934,115636.0
636,The Sun,5xy8yHtC2E9mbVT45Z1VpO,7ozIozDp260fjNOZy1yzRG,0.452,0.352,11.0,-17.66,1.0,0.138,0.733,0.00578,0.155,0.0761,110.867,157838.0
637,Just Fine,3tsb6NqVhQ0PqR8viUwOXz,7ozIozDp260fjNOZy1yzRG,0.697,0.603,2.0,-7.122,1.0,0.0427,0.609,0.0233,0.102,0.191,117.018,106154.0
638,Control,3djwGcSC2YIagLorz2iP4f,7ozIozDp260fjNOZy1yzRG,0.541,0.533,5.0,-7.631,1.0,0.0338,0.0991,4.22e-06,0.789,0.298,118.175,126356.0
639,Aurora,5w6aGaLoE1WT3i4Gtb6fzg,7ozIozDp260fjNOZy1yzRG,0.607,0.367,11.0,-15.221,0.0,0.035,0.165,0.645,0.233,0.254,110.035,126000.0
640,Thunder,2euCLKbDdCVZ879kHSAAeH,7ozIozDp260fjNOZy1yzRG,0.712,0.55,4.0,-7.723,1.0,0.0606,0.533,0.0,0.138,0.503,109.925,128727.0
641,London,7hS3i9y9gi81OOFT1rCfSU,4MdI4iitwoDXP7odDScsfN,0.443,0.165,2.0,-20.735,0.0,0.0307,0.658,0.927,0.358,0.106,78.882,158613.0
642,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,5U2MYFAcQ3yT7XbHYgGPmb,0.694,0.77,6.0,-5.335,1.0,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560.0
643,Looking for You,4Hh6lJfX2pOVPqdfJ8GmZv,7ozIozDp260fjNOZy1yzRG,0.555,0.582,1.0,-9.124,0.0,0.0293,0.61,0.00107,0.239,0.266,106.026,115189.0
644,Sunset High,10ZlVbYYBmboSglKD0VDGS,7ozIozDp260fjNOZy1yzRG,0.747,0.534,0.0,-8.038,0.0,0.0579,0.721,0.0,0.213,0.345,112.066,113036.0
645,Stay,7lDyDUl4JSlFLoSb8mJLdf,7ozIozDp260fjNOZy1yzRG,0.766,0.762,1.0,-6.718,0.0,0.0455,0.586,0.00384,0.112,0.406,110.01,129273.0
646,Holds the Light,4jZ9jTZGCd0pi2MDd01rAi,7ozIozDp260fjNOZy1yzRG,0.601,0.607,9.0,-6.886,1.0,0.0689,0.262,0.000101,0.108,0.386,105.022,140571.0
647,Malibu,7J54b6dPrL7obVHhxtSAJf,7ozIozDp260fjNOZy1yzRG,0.676,0.542,11.0,-10.593,0.0,0.0508,0.728,0.00179,0.327,0.386,105.028,147905.0
648,Time to Breathe,5I7iQCs7XEyQkexq0118Bb,7ozIozDp260fjNOZy1yzRG,0.63,0.383,4.0,-7.576,0.0,0.0374,0.624,6.29e-06,0.61,0.476,104.669,133714.0
649,Letter to Myself,2fQcm1vT4hCJVhKOEy1p0S,7ozIozDp260fjNOZy1yzRG,0.632,0.415,2.0,-14.505,0.0,0.0496,0.374,0.782,0.107,0.064,103.941,115385.0
650,Dancing with The Moon,5irDsMKJAVAMTbTC8NChLy,7ozIozDp260fjNOZy1yzRG,0.699,0.517,5.0,-9.097,1.0,0.0401,0.466,1.06e-05,0.168,0.33,104.926,128000.0
651,Let Go,1gaECOseSdxvwqwhIMM02s,35oLMiAK4VM2T0ek3PTPIc,0.727,0.548,6.0,-8.012,1.0,0.0424,0.00706,0.000115,0.201,0.39,119.473,179927.0
652,Almost a Lover,2Kz5VfjMtgbvEOfUc0RU2F,7ozIozDp260fjNOZy1yzRG,0.453,0.422,5.0,-13.732,0.0,0.0374,0.783,6.26e-06,0.14,0.448,102.123,121471.0
653,Swim,7qHfaAlihkWeA4Xu60v3Pi,7ozIozDp260fjNOZy1yzRG,0.687,0.453,6.0,-11.823,1.0,0.0698,0.154,0.63,0.363,0.0872,92.949,127097.0
654,Monument Valley,0hdwByRwt345Z5nbtkFZc5,7ozIozDp260fjNOZy1yzRG,0.694,0.419,7.0,-12.079,1.0,0.0507,0.486,1.06e-05,0.122,0.165,96.964,121490.0
655,Whole Again,7eC4yTQFVjBcpgGZvnKM7I,7ozIozDp260fjNOZy1yzRG,0.506,0.642,2.0,-6.152,1.0,0.0612,0.687,0.0,0.158,0.194,100.161,129600.0
656,Dive,0Npijoc6ZcUe1devUugKvI,35oLMiAK4VM2T0ek3PTPIc,0.654,0.787,4.0,-4.999,1.0,0.0502,0.00515,0.0,0.144,0.409,123.978,164490.0
657,Hollow,6yp7ooyd0KPQXgzJ554sNs,7ozIozDp260fjNOZy1yzRG,0.702,0.56,3.0,-6.871,0.0,0.0411,0.405,0.00192,0.274,0.275,114.903,112174.0
658,Young Love,6g8XfNudnqFt5xPdPlsdE1,7ozIozDp260fjNOZy1yzRG,0.665,0.525,0.0,-12.018,1.0,0.0354,0.478,0.00113,0.451,0.472,104.965,112571.0
659,9 PM,0R6iI9Z9Zj0h6BvHO4o2P9,7ozIozDp260fjNOZy1yzRG,0.702,0.33,0.0,-16.431,1.0,0.303,0.663,0.786,0.111,0.115,107.977,120000.0
660,Like Waves,4pu0i6omwdncjl29sNPoNb,7ozIozDp260fjNOZy1yzRG,0.664,0.446,7.0,-14.091,0.0,0.0468,0.149,6.91e-05,0.818,0.247,110.009,142364.0
661,When the Sun Goes Down,3CYywPs4SSwgRMpZlepTOn,7ozIozDp260fjNOZy1yzRG,0.661,0.575,9.0,-10.722,0.0,0.214,0.45,0.0017,0.193,0.207,102.967,132816.0
662,Someone You Love,2S7L5RKzVrE1T8gTCPJm71,7ozIozDp260fjNOZy1yzRG,0.636,0.367,7.0,-13.041,0.0,0.0747,0.766,2.31e-06,0.0932,0.48,114.938,123130.0
663,Getting There,1YdUjBLiapo6at7XhMn0mq,7ozIozDp260fjNOZy1yzRG,0.689,0.634,2.0,-8.389,0.0,0.0474,0.646,0.0168,0.111,0.252,119.944,156500.0
664,Illusion,1aDbLTKZNElms1Fe9lIFCJ,7ozIozDp260fjNOZy1yzRG,0.79,0.368,11.0,-14.033,0.0,0.0537,0.352,1.83e-05,0.11,0.6,115.954,110172.0
665,Sleepless Nights,2DxY2h8fnjo9cLlchKgpnf,7ozIozDp260fjNOZy1yzRG,0.697,0.559,2.0,-11.104,0.0,0.0306,0.507,0.0415,0.106,0.413,115.913,126724.0
666,Take Me Home,2gOZen8zPpGCJSFqdsHpJQ,7ozIozDp260fjNOZy1yzRG,0.604,0.53,7.0,-10.365,0.0,0.0896,0.559,0.0,0.157,0.425,121.703,132541.0
667,Time After Time,3hEPKX4FgfYPhBjSw1Nejq,7ozIozDp260fjNOZy1yzRG,0.609,0.635,11.0,-7.151,0.0,0.24,0.215,4.88e-05,0.424,0.278,116.063,161053.0
668,Live a Life You Will Remember,5QBSUwkRrgbcdAx1SDL9Th,7ozIozDp260fjNOZy1yzRG,0.618,0.567,3.0,-11.827,0.0,0.147,0.297,2.78e-05,0.471,0.265,117.15,150256.0
669,Memory Lane,1XtbzoLsODGIgBue1oXbMG,7ozIozDp260fjNOZy1yzRG,0.653,0.618,11.0,-11.783,0.0,0.0285,0.312,0.0249,0.23,0.476,114.988,144261.0
670,Another Day in Paradise,4hXg3iSVnF27KRLtXyh1oH,35oLMiAK4VM2T0ek3PTPIc,0.756,0.696,2.0,-7.075,0.0,0.0641,0.166,0.0068,0.4,0.308,121.021,161157.0
671,Let Us Drive,4rLVsInGwwMytBFC1hCmT1,7ozIozDp260fjNOZy1yzRG,0.756,0.478,0.0,-10.306,1.0,0.0881,0.335,5.95e-05,0.366,0.566,115.0,120506.0
672,When It Rains,2mKVViSvCCrm6dzBCuLWyd,7ozIozDp260fjNOZy1yzRG,0.778,0.382,10.0,-13.58,0.0,0.15,0.531,0.000517,0.245,0.372,112.984,117743.0
673,Falling for You,3fNPuMvBgkGbl0zzYO9FFi,7ozIozDp260fjNOZy1yzRG,0.933,0.303,9.0,-10.063,1.0,0.0597,0.855,0.000519,0.129,0.602,109.997,124364.0
674,In the Dark,5MnMS8DIB4oIdbaFRqgiC6,7ozIozDp260fjNOZy1yzRG,0.779,0.499,7.0,-10.039,0.0,0.0474,0.421,0.000255,0.34,0.283,115.039,131478.0
675,Into the Blue,7zMHxNIw0M00Bqfg7zwjxj,7ozIozDp260fjNOZy1yzRG,0.691,0.33,0.0,-9.534,0.0,0.0328,0.869,0.000238,0.293,0.231,114.839,137739.0
676,Somebody Like Me,5AVfX7NjTn8UbzgFqjTCmU,7ozIozDp260fjNOZy1yzRG,0.609,0.575,5.0,-12.033,0.0,0.0963,0.303,0.000116,0.229,0.508,113.913,115263.0
677,You Got Me,1DCTUID28mJuPybdseYbyz,7ozIozDp260fjNOZy1yzRG,0.714,0.263,11.0,-19.76,1.0,0.0467,0.667,0.161,0.13,0.368,118.028,105763.0
678,Endless Holiday,4VYO8vJT7ONfdbXjX9gSVd,7ozIozDp260fjNOZy1yzRG,0.727,0.37,0.0,-11.645,0.0,0.077,0.798,0.0,0.433,0.476,111.942,140357.0
679,Rhythm of My Heart,6Geuq74b7to0pztVl8oyXi,7ozIozDp260fjNOZy1yzRG,0.54,0.598,1.0,-11.278,0.0,0.0745,0.269,0.000405,0.332,0.704,106.943,112617.0
680,Existe El Amor,1vrFjapAsAdYA2Xmtry5de,7ozIozDp260fjNOZy1yzRG,0.66,0.44,7.0,-8.416,1.0,0.0301,0.49,8.44e-05,0.53,0.301,105.956,125094.0
681,Alaska,6hxdw7ZDj7dmhpEo1TB0Fh,7ozIozDp260fjNOZy1yzRG,0.687,0.354,8.0,-17.794,1.0,0.0589,0.822,0.343,0.111,0.21,110.013,108545.0
682,Some Way,0SbJETwSvHyo2uwsPwg1GF,7ozIozDp260fjNOZy1yzRG,0.581,0.665,7.0,-9.298,1.0,0.06,0.0769,0.000239,0.581,0.338,110.064,135273.0
683,Breathing,72swvLCB5CIcNniL0vfdBR,7ozIozDp260fjNOZy1yzRG,0.813,0.453,0.0,-10.749,0.0,0.0773,0.612,9.41e-05,0.109,0.351,117.036,124103.0
684,Chasing Dreams,5xV7NL7wEfUurJAEnvrs1o,7ozIozDp260fjNOZy1yzRG,0.706,0.429,2.0,-10.688,1.0,0.0986,0.313,2.5e-06,0.506,0.157,107.022,137664.0
685,In Vain,5z9qYfQyxiRiAgvyk6Y11y,7ozIozDp260fjNOZy1yzRG,0.613,0.344,6.0,-13.823,0.0,0.0345,0.138,2.66e-05,0.674,0.555,104.839,111143.0
686,Sunset in Rio,6xJnWw2JoaQq6x07zRQScT,7ozIozDp260fjNOZy1yzRG,0.688,0.264,0.0,-16.063,1.0,0.0609,0.803,0.000105,0.0864,0.275,99.977,120750.0
687,Tomorrow's on The Way,1hF7lbb1oFwWJKcJlziywN,7ozIozDp260fjNOZy1yzRG,0.834,0.582,2.0,-8.062,0.0,0.105,0.408,7.14e-05,0.128,0.441,104.957,111429.0
688,Endlessly,0R0amVg7jBzXUfvf34GVjN,7ozIozDp260fjNOZy1yzRG,0.619,0.552,1.0,-8.884,0.0,0.0335,0.217,0.0158,0.435,0.139,102.017,99706.0
689,Nightsky,2G3MQJYi5T3oQKTrxlHwEx,7ozIozDp260fjNOZy1yzRG,0.705,0.165,3.0,-20.06,0.0,0.1,0.894,0.0439,0.127,0.0903,106.069,117170.0
690,Be Alive,0p874cho40bM8HTxGaorjx,7ozIozDp260fjNOZy1yzRG,0.559,0.519,11.0,-11.287,0.0,0.085,0.305,0.0148,0.194,0.241,100.037,142200.0
